timestamp_id,total_bytes,total_packets,n_ips_org,n_ips_dst,flows_TCP,flows_UDP,flows_ICMP,flows_RST,media_duration_flow,media_bytes/flow,package_malicious
T1,13,40,2,6,4,2,0,0,0.023584821428571427,0.014508928571428572,1
T2,322,72,11,12,12,3,0,0,0.0007713001761097952,0.00162952166960183,1
T3,625,40,7,22,22,3,0,0,0.002389946757092661,0.009589860831939606,1
T4,470,2166,27,110,106,10,2,0,0.003220608899297421,0.003795526124525559,1
T5,3315,2380,31,118,197,3,2,0,0.00022920253888296358,0.0008420101869262615,1
T6,2825,2332,45,114,149,5,2,0,0.0017140604835377197,0.005986475862317413,1
T7,2056,2111,50,111,144,7,0,0,0.00044613914447221123,0.001374900443432142,1
T8,1128,2436,48,133,162,12,3,0,0.002192695403161553,0.003256238236550697,1
T9,4919,2210,47,121,145,9,2,0,0.0003270176964688616,0.0013371571479055102,1
T10,1778,2458,60,130,200,5,1,0,0.0010389427574215232,0.0016085169979898062,1
T11,4458,9934,274,386,505,268,11,60,0.0004172596977732816,0.0014915276012903822,1
T12,6536,12852,403,491,704,321,22,71,0.0005310041335055513,0.0018574487645663799,1
T13,8704,11955,402,453,746,366,20,87,0.00047452465328011895,0.001873597196836841,1
T14,9933,14033,415,482,783,379,13,108,0.00046376801744977343,0.0014063401261840908,1
T15,23362,14293,472,561,880,372,20,109,0.0002814579532322371,0.0017361965241883641,1
T16,9984,12476,453,534,846,303,7,100,0.0005846855920691857,0.002036009885578447,1
T17,9143,13658,444,549,950,358,16,127,0.0010137127152307045,0.0017006043534578644,1
T18,12414,14708,483,568,1032,381,19,135,0.0005606234146163375,0.0019041860340977227,1
T19,11789,13517,491,574,983,365,18,173,0.002224263498464396,0.0029331182363373266,1
T20,16395,15843,443,530,870,261,4,139,0.0004628751566795236,0.0014699632576430021,1
T21,19287,16515,571,671,1173,877,36,142,0.0014521312291634263,0.0019076156959968555,1
T22,10143,12624,479,545,1018,322,31,249,0.0017666124892724703,0.002566257671195168,1
T23,51510,11963,462,551,953,312,22,131,0.0002515190580826283,0.001684209342349439,1
T24,44615,12216,455,542,998,218,30,132,0.00021684684140283014,0.0013630036659803633,1
T25,103471,11948,425,486,870,256,38,152,0.00010755146323222904,0.0013110688697681894,1
T26,35652,14148,469,565,901,326,17,142,0.00012166082920159387,0.0009320285038848507,1
T27,16603,13726,471,579,1035,418,50,120,0.0017445646432016455,0.002113399817873128,1
T28,22534,12710,483,575,970,359,38,131,0.0007380703780803538,0.0014897875112383622,1
T29,43666,12679,468,533,918,387,21,126,0.0001937268928838521,0.001267154253787149,1
T30,416308,12246,464,556,1016,307,14,217,9.633128518109138e-05,0.008689639268549737,1
T31,34628,15976,524,588,1160,416,15,253,0.00048537555274391766,0.0016732595838904745,1
T32,14913,12994,434,510,808,321,11,119,0.0005772538401889049,0.0018373325573160777,1
T33,11560,12548,416,512,817,378,7,124,0.0007189976719330796,0.0017861852784030886,1
T34,14522,12017,423,488,742,299,12,115,0.0008219518375323158,0.0027156488281962214,1
T35,32473,11832,403,520,836,320,5,111,0.0002176750128545239,0.001314931340361796,1
T36,55524,12023,431,570,861,319,8,99,7.426354121463647e-05,0.0008326277051965272,1
T37,30946,11746,463,586,960,277,15,129,0.000246771372335388,0.0013714720691421177,1
T38,10898,12886,465,541,834,336,15,91,0.0007043666266179019,0.0019487338862435087,1
T39,58082,13434,430,535,794,462,3,126,0.00010582935108382575,0.0012455189239018432,1
T40,15775,12056,428,519,863,276,21,134,0.0005532313079306865,0.0017184215663377173,1
T41,19563,11578,485,578,1019,421,14,209,0.0003991647367496069,0.0016953285781286234,1
T42,19851,14108,439,513,792,256,21,123,0.0006519944668207182,0.00187106742176693,1
T43,11778,11365,457,510,897,360,12,115,0.0007713880237624398,0.0019927234631767444,1
T44,13985,11870,445,552,910,379,19,97,0.0011113734111041747,0.0021424003002577467,1
T45,24686,13478,450,548,850,373,22,131,0.0003146025819219793,0.0014378505328568301,1
T46,15340,13154,437,535,887,449,15,129,0.0004378331236335707,0.001418860991302863,1
T47,14273,11563,411,467,847,312,12,86,0.0004532056640816505,0.0015429668096196463,1
T48,37570,14344,461,567,993,335,27,128,9.718872831088527e-05,0.0009052994596636922,1
T49,7475,11066,439,539,816,320,13,133,0.0012971441550760064,0.0028487563796898725,1
T50,19210,13052,441,546,817,442,9,138,0.00026130924847927566,0.0014873917034049578,1
T51,33636,13047,478,577,804,376,23,145,0.00013993164325871833,0.0009480963209037142,1
T52,18637,13034,430,521,771,344,16,121,0.0004518922282556355,0.0018408413525052658,1
T53,49728,10772,445,527,874,345,18,125,0.00012236408906731675,0.0012881292060321064,1
T54,17795,11020,404,499,888,238,12,151,0.0003113119653572351,0.0017387630423106172,1
T55,28727,10064,462,518,844,380,22,130,0.0005570159674554098,0.0018533590237139244,1
T56,32229,10380,402,488,751,294,11,107,0.00023716652273773445,0.001925431570231295,1
