timestamp_id,total_bytes,total_packets,n_ips_org,n_ips_dst,flows_TCP,flows_UDP,flows_ICMP,flows_RST,media_duration_flow,media_bytes/flow,porcent_blacklist,porcent_spam,porcent_sshscan,porcent_udpscan,porcent_malware_total
T1,3670580,860498,13721,15520,61032,31660,1503,8266,9.160470698779634e-05,0.000942142448025403,0.8377,0.0,0.0,0.0,0.8377
T2,1920305,843850,13693,15356,59401,29839,1936,7874,0.00047721326184158903,0.0015560959173178404,0.3906,0.0,0.0,0.0,0.3906
T3,2495368,869516,13331,14616,56149,28240,1481,8054,0.00023283805351703433,0.0014864067615355562,0.599,0.0,0.0,0.0,0.599
T4,2737850,863329,13377,14861,58354,29414,1251,8026,0.0001100946798856153,0.0010301646639716499,0.5196,0.0,0.0,0.0,0.5196
T5,1897946,844945,13450,14760,61660,28087,1262,8733,0.00022550731113570277,0.0013480278898854036,0.5212,0.0,0.0,0.0,0.5212
T6,3975824,904717,13270,14777,60734,27132,1329,8426,9.127315591866256e-05,0.0010257660660952857,0.4974,0.0,0.0,0.0,0.4974
T7,2229363,834120,13340,14792,58138,26614,1779,8147,0.00041582129307110794,0.0015021838499974496,0.6143,0.0,0.0,0.0,0.6143
T8,1827421,799086,13412,14677,55178,26935,1381,7755,0.00033062493775958744,0.0017243043902564956,0.6022,0.0,0.0,0.0,0.6022
T9,1425524,838360,13415,15131,57433,26989,1373,7932,0.0003203038541890456,0.0015575088649552044,0.5296,0.0,0.0,0.0,0.5296
T10,1781693,794047,13088,15244,56871,26048,1342,7975,0.00023171402821003836,0.0014106703061961042,0.6871,0.0,0.0,0.0,0.6871
T11,3391574,819508,13285,14963,58779,27032,1323,8484,9.501478124412459e-05,0.0010691814427307676,0.4071,0.0,0.0,0.0,0.4071
T12,2728593,748009,13180,14781,55160,26198,1707,7844,0.000261730322863569,0.0012423927528796422,0.5636,0.0,0.0,0.0,0.5636
T13,1589361,751598,13052,14497,52425,25804,1480,7536,0.0003372922420846549,0.001524788592453326,1.1772,0.0,0.0,0.0,1.1772
T14,1806406,751846,13171,14488,53575,25782,1398,7857,0.0002610831591772361,0.0016524486105534372,0.8153,0.0,0.0,0.0,0.8153
T15,1509311,737864,13101,14503,52825,26451,1289,7260,0.00026609848462162114,0.0015192404181013374,0.6416,0.0,0.0,0.0,0.6416
T16,3363278,760097,12874,14310,53233,26958,1498,7429,9.0847312962305e-05,0.0010582058473159546,0.541,0.0,0.0,0.0,0.541
T17,2583411,740547,13216,14782,53407,26167,1828,7409,0.0002617012679126807,0.001270391539609576,0.5807,0.0,0.0,0.0,0.5807
T18,1853237,727846,12906,14352,52414,25704,1569,7592,0.000308151782809339,0.0014431169918510114,0.4259,0.0,0.0,0.0,0.4259
T19,1931057,753652,13020,14363,52717,26735,1523,7891,0.0002562160902057696,0.0015560657339703467,0.3062,0.0,0.0,0.0,0.3062
T20,1832232,801701,12879,14311,54030,26424,1303,7439,0.00021413011725364024,0.0014585809731223409,0.2834,0.0,0.0,0.0,0.2834
T21,3693857,793786,13026,14539,58567,27112,1425,7808,8.184007460589056e-05,0.0010511161775518983,0.263,0.0,0.0,0.0,0.263
T22,2332906,820367,13306,18139,66050,27800,1732,7683,0.0002832328116901711,0.0013443971654881206,0.2355,0.0,0.0,0.0,0.2355
T23,2060639,860404,13476,15384,56051,28608,1675,7897,0.0002898412300554492,0.0012822691100540101,0.4751,0.0,0.0,0.0,0.4751
T24,1980011,786764,13291,14814,56489,26711,1570,7742,0.00025892350174193087,0.0016964840125485792,0.4123,0.0,0.0,0.0,0.4123
T25,1649139,769431,13120,14674,57497,26375,1383,8047,0.0002493776136395481,0.001477652761617568,0.2875,0.0,0.0,0.0,0.2875
T26,3540428,820307,13162,14738,57087,27263,1325,8176,7.780522099961751e-05,0.0010362242679519567,0.9136,0.0,0.0,0.0,0.9136
T27,2119702,929750,13061,17780,53041,29978,1648,7492,0.000289488968777119,0.0013272054413951695,0.7675,0.0,0.0,0.0,0.7675
T28,2183257,775103,12927,14367,53100,24822,1500,7423,0.0002691638253957574,0.0013033337527647787,0.6941,0.0,0.0,0.0,0.6941
T29,2153924,831218,13478,14749,54781,27868,1732,7885,0.00028550510893719284,0.001672854581749343,0.398,0.0,0.0,0.0,0.398
T30,1687764,798263,13277,14503,54493,27169,1335,7598,0.0002396556136432814,0.001444619232625211,0.4114,0.0,0.0,0.0,0.4114
T31,1813421,799144,13405,14880,55155,28653,1324,7887,0.0002677260674455573,0.0018287627190454118,0.2543,0.0,0.0,0.0,0.2543
T32,3567666,888548,13373,17699,62000,27060,1530,7742,9.796656521927507e-05,0.0009489891325262491,0.5281,0.0,0.0,0.0,0.5281
T33,2055156,773461,13089,14420,53593,27256,1715,7749,0.00037907330097457784,0.0014557566830187773,0.5135,0.0,0.0,0.0,0.5135
T34,2009459,780128,13117,14610,53768,27465,1538,7436,0.00026742798415601014,0.0016406060648678862,0.3008,0.0,0.0,0.0,0.3008
T35,1496714,746078,13000,14304,51971,25671,1572,7503,0.0002719331412881606,0.0014928953617694095,0.3226,0.0,0.0,0.0,0.3226
T36,1733086,806987,12986,17613,58846,27100,1275,7961,0.00028354069067900844,0.0018780666328252892,0.3078,0.0,0.0,0.0,0.3078
T37,3498702,747186,12865,14515,54266,24380,1352,7649,8.788230267366305e-05,0.0009340131422026406,0.2612,0.0,0.0,0.0,0.2612
T38,1761118,760948,12942,14355,50896,25662,1678,7411,0.00046134578868959307,0.0014384861205628922,0.2145,0.0,0.0,0.0,0.2145
T39,2021004,792985,13141,14520,54055,26602,1396,7744,0.000273312787469137,0.001665531368782345,0.1846,0.0,0.0,0.0,0.1846
T40,1443635,847762,13125,14901,55211,27423,1379,7627,0.0003151663181670791,0.0014939932145375766,0.2656,0.0,0.0,0.0,0.2656
T41,1763881,849468,12923,14414,56309,29072,1290,8206,0.0002688225622955155,0.0017968414930980734,0.2562,0.0,0.0,0.0,0.2562
T42,3530120,827094,13128,14830,53883,28602,1919,7941,0.00011312943480068152,0.0009648900951458872,0.1707,0.0,0.0,0.0,0.1707
T43,2159509,810963,13090,14766,51687,28549,1603,7096,0.00023340466066280654,0.0013187803812306133,0.2757,0.0,0.0,0.0,0.2757
T44,1892500,812751,12930,16014,51845,31253,1663,7700,0.0003349897513508982,0.0017278494915254844,0.4956,0.0,0.0,0.0,0.4956
T45,1664672,775311,12646,15531,49113,29967,1442,7286,0.00024144063013150266,0.001421151348291124,0.4881,0.0,0.0,0.0,0.4881
T46,1326586,866253,12939,15220,50807,30592,1376,7697,0.0002703215925002539,0.0014659405776561243,0.2489,0.0,0.0,0.0,0.2489
T47,4016155,1385179,12974,17651,53544,36081,1768,7344,0.00011222495520185727,0.0010598788291207243,0.1432,0.0,0.0,0.0,0.1432
T48,2189927,780136,12919,14305,52701,29391,1383,7439,0.00020026103999704834,0.0012208159358034739,0.2989,0.0,0.0,0.0,0.2989
T49,1897056,742801,12846,14218,51974,26586,1586,7722,0.00040609097612718435,0.0019117923728195875,0.3156,0.0,0.0,0.0,0.3156
T50,1915257,771843,12877,14208,52607,27669,1435,7227,0.00021974998447330852,0.0014045557620646896,0.4415,0.0,0.0,0.0,0.4415
T51,1566911,2083499,12833,14228,88451,27457,1306,25926,0.0003091735915507175,0.001617637105378384,0.2206,0.0,0.0,0.0,0.2206
T52,4034313,2327973,12745,14165,95133,26126,1550,29745,0.0001201385860384752,0.0010729878409472442,0.1517,0.0,0.0,0.0,0.1517
T53,1855902,2415313,12881,14215,96578,27006,1438,31093,0.0004239330333857586,0.0015843373901014378,0.0856,0.0,0.0,0.0,0.0856
T54,1700059,2308249,13032,14534,95581,26309,1570,29470,0.0005511091183772916,0.0017897158518435825,0.1277,0.0,0.0,0.0,0.1277
T55,2316142,2300870,12900,14409,95285,27165,1438,29135,0.00033760911732820287,0.0016466629340234644,0.1339,0.0,0.0,0.0,0.1339
T56,1616420,2299566,12709,14149,93611,26731,1286,29365,0.0003863871350883108,0.001566703828155443,0.0698,0.0,0.0,0.0,0.0698
T57,1911081,1863084,12558,13981,79737,27268,1430,23778,0.0005152676537542472,0.0021365976036534498,0.0814,0.0,0.0,0.0,0.0814
T58,3789031,958634,12501,17145,46880,28897,1398,7336,0.00010404199718678879,0.0009045029674682931,0.1723,0.0,0.0,0.0,0.1723
T59,1491128,747115,12718,14159,48576,25684,1466,7426,0.0004708872884233963,0.0014978120687363999,0.4545,0.0,0.0,0.0,0.4545
T60,2383210,737240,12501,13956,49432,24952,1475,7284,0.00020957829543881705,0.0015283060952017695,0.7094,0.0,0.0,0.0,0.7094
T61,1460006,742833,12970,14421,53168,28118,1455,7752,0.00030678357709411656,0.0015287221988966816,0.4488,0.0,0.0,0.0,0.4488
T62,1770465,814072,12962,14552,51379,28113,1485,7138,0.0002757527622172789,0.001855009211463194,0.4747,0.0,0.0,0.0,0.4747
T63,4132263,764034,12617,14440,50926,26052,1694,7113,9.748774959800624e-05,0.0009299319131773793,0.1649,0.0,0.0,0.0,0.1649
T64,1778869,1055467,12812,17445,52259,32486,1506,7546,0.0003182564320950361,0.0014421974057702452,0.2299,0.0,0.0,0.0,0.2299
T65,1978346,820424,12769,14225,55341,29381,1571,8468,0.00025678579778456176,0.0015398807687528754,0.2384,0.0,0.0,0.0,0.2384
T66,1683198,732232,12729,14142,53172,25678,1357,7241,0.0002682486842411283,0.0014774238250228429,0.3592,0.0,0.0,0.0,0.3592
T67,1936681,803099,13069,14786,54994,25868,1284,7749,0.00022226693228615663,0.0016891631633078673,0.5033,0.0,0.0,0.0,0.5033
T68,3978356,748697,12827,14338,50872,26837,1714,7087,9.888846642446126e-05,0.0009239463733903217,0.705,0.0,0.0,0.0,0.705
T69,1570321,752462,12756,14368,50511,26697,1454,7485,0.0004117672803023839,0.001629257009910861,0.1776,0.0,0.0,0.0,0.1776
T70,1951839,1055902,12935,17551,53867,30664,1568,7422,0.00026632415091854407,0.0015168232385844593,0.4372,0.0,0.0,0.0,0.4372
T71,1643992,825552,13078,14571,55648,26555,1598,8081,0.0002858092442455177,0.0014315099279793488,0.5456,0.0,0.0,0.0,0.5456
T72,2069179,769754,12994,14661,53048,26460,1693,7629,0.0003159218067578167,0.0017651390409023778,0.806,0.0,0.0,0.0,0.806
T73,4019107,767205,12713,14152,51089,26330,1520,7037,6.848351050687953e-05,0.0009128494514131403,0.3879,0.0,0.0,0.0,0.3879
T74,1655099,968922,12970,17639,56050,27468,1434,7317,0.00034721118326821294,0.0014992528641716485,0.166,0.0,0.0,0.0,0.166
T75,1943479,737865,12773,14270,51568,25262,1546,7391,0.0002981372376228207,0.0016151112488349633,0.3196,0.0,0.0,0.0,0.3196
T76,1699138,792283,12700,14241,51730,30098,1535,7738,0.0002665137843035755,0.0014988773354611652,0.3201,0.0,0.0,0.0,0.3201
T77,1635166,730108,12642,14408,50061,25890,1570,7298,0.0004848987432967713,0.0020947675748120443,0.3619,0.0,0.0,0.0,0.3619
T78,2446597,761833,12577,14209,52651,25526,1470,6974,0.0001319543734318819,0.0010930714833853653,0.6343,0.0,0.0,0.0,0.6343
T79,2901522,950844,12713,17172,55217,29943,1581,7338,0.0001237117686395604,0.0009428979350965737,0.748,0.0,0.0,0.0,0.748
T80,1951024,778312,12590,14078,54334,24861,1538,7183,0.0003744053172256283,0.0016894783180795754,0.9246,0.0,0.0,0.0,0.9246
T81,1672426,757849,12509,14361,57125,25169,1458,7168,0.00028999991687238513,0.001454386207249764,0.6144,0.0,0.0,0.0,0.6144
T82,1874552,812275,12812,15266,55651,25560,1682,6982,0.0004476883195983654,0.0020492746461537354,0.556,0.0,0.0,0.0,0.556
T83,2085827,978121,12362,16858,55243,27855,1409,7523,0.0001533862657889285,0.0010898734586138484,0.1949,0.0,0.0,0.0,0.1949
T84,2722755,850811,12758,14339,53671,28093,1602,7463,0.00012065196804781798,0.0009307947836862193,0.2099,0.0,0.0,0.0,0.2099
T85,1683616,787546,12340,13993,55285,24515,1440,7357,0.0003595569804385647,0.0017031592602989036,0.2793,0.0,0.0,0.0,0.2793
T86,1577741,784560,12349,14084,52420,25418,1498,7733,0.00030987235349364434,0.0013577081494100876,0.2335,0.0,0.0,0.0,0.2335
T87,1641076,773449,12451,14169,50804,24823,1476,7771,0.0004452492166976293,0.0020194389500378376,0.242,0.0,0.0,0.0,0.242
T88,1694694,782404,12377,13904,50815,23822,1477,7457,0.00021106998592128267,0.0011817264035127836,0.2871,0.0,0.0,0.0,0.2871
T89,3313535,763951,12538,13999,51171,24829,1419,7483,0.00010578686998265767,0.001010012330737964,0.4343,0.0,0.0,0.0,0.4343
T90,1759857,939916,12430,17064,52047,28992,1417,7158,0.0003292626268483197,0.0015796560519593821,0.2079,0.0,0.0,0.0,0.2079
T91,1378397,792841,12685,14221,53709,26298,1610,8125,0.00037598262146890197,0.0015030234968903058,0.5121,0.0,0.0,0.0,0.5121
T92,1582102,786674,12790,14283,51523,25458,1416,7320,0.000423844982660379,0.0020710504120745638,0.7083,0.0,0.0,0.0,0.7083
T93,1823711,756388,12556,14218,50170,24534,1622,7199,0.0002391124593412256,0.0011868827135863619,0.3477,0.0,0.0,0.0,0.3477
T94,2654565,782080,12614,14369,51336,26147,1347,7176,0.00011089871407436939,0.0009153051032095882,0.7828,0.0,0.0,0.0,0.7828
T95,1540662,747524,12550,13968,49225,25283,1422,7282,0.0004224535796787144,0.0017076649708393746,0.5966,0.0,0.0,0.0,0.5966
T96,1429647,768588,12582,14073,48808,25478,1457,7297,0.00030701109056087417,0.0014124180115384554,0.5392,0.0,0.0,0.0,0.5392
T97,1256125,778987,12642,14092,48742,25369,1346,7708,0.00041845357884219596,0.0017099399764750648,0.2773,0.0,0.0,0.0,0.2773
T98,2234498,777467,12699,14352,48743,25703,1651,7319,0.00023296340308608644,0.0013849791952819511,0.4188,0.0,0.0,0.0,0.4188
T99,2682652,756647,12605,14136,46332,26983,1367,7291,0.00010278250300273653,0.0009174188455396167,0.4279,0.0,0.0,0.0,0.4279
T100,1516022,760174,12656,14180,48477,25127,1460,7405,0.00041490474824684617,0.0016977790103842843,0.573,0.0,0.0,0.0,0.573
T101,1203557,845769,12617,14763,51289,27911,1480,7944,0.0004160607915450251,0.0015507061941676462,0.4521,0.0,0.0,0.0,0.4521
T102,1147134,802277,12378,16929,53880,24760,1483,7425,0.00036573280701845517,0.001476308027864364,0.4353,0.0,0.0,0.0,0.4353
T103,2253330,737045,12292,14054,47868,24474,1595,7025,0.000259585762735745,0.0015004955305033102,0.2431,0.0,0.0,0.0,0.2431
T104,2761378,821867,12402,14293,48118,26718,1377,6975,0.000103593994097326,0.0009270491565792732,0.3499,0.0,0.0,0.0,0.3499
T105,1526070,783569,12246,13751,46561,26818,1373,6979,0.0003072221198427951,0.0013383175488445433,0.7387,0.0,0.0,0.0,0.7387
T106,1360720,785358,12428,16600,50112,27515,1542,6911,0.000405477879895928,0.0017798950181366047,0.6423,0.0,0.0,0.0,0.6423
T107,1267542,769146,12522,13960,47963,27319,1412,6972,0.0003290659962431751,0.0014560891442480968,0.2543,0.0,0.0,0.0,0.2543
T108,2097923,732429,12293,14045,46806,27411,1535,7096,0.00026397034479393807,0.0014649957744493575,0.4314,0.0,0.0,0.0,0.4314
T109,3068556,731561,12180,13636,47436,25208,1301,7223,8.394141077676764e-05,0.0009260204012069917,0.7655,0.0,0.0,0.0,0.7655
T110,1311649,747183,12281,14062,47911,27088,1369,7849,0.0004122723559978938,0.0015526678272878868,0.523,0.0,0.0,0.0,0.523
T111,1535147,720882,12242,13768,47780,26237,1455,7239,0.00037478811956047424,0.001693315066283341,0.4121,0.0,0.0,0.0,0.4121
T112,1172492,716942,12217,13658,48939,24046,1390,7326,0.00036916192741646357,0.001432503023869579,0.3391,0.0,0.0,0.0,0.3391
T113,1533314,742654,12356,14096,47674,23994,1596,7050,0.0005583219422188639,0.0023036444328782676,0.3479,0.0,0.0,0.0,0.3479
T114,3094626,769768,12500,14355,52931,24622,1510,7907,8.539410608420329e-05,0.0008758426255697597,0.3471,0.0,0.0,0.0,0.3471
T115,1256694,733461,12270,14999,51151,24219,1474,7421,0.00045848430252538283,0.0016151926608163802,0.3332,0.0,0.0,0.0,0.3332
T116,1840073,718079,12340,14998,51131,24077,1340,7392,0.00027025514480664287,0.0015663900583777906,0.3142,0.0,0.0,0.0,0.3142
T117,1112879,770281,12481,14843,48356,24521,1527,7778,0.0004387280317602338,0.0014329178336559925,0.4487,0.0,0.0,0.0,0.4487
T118,1657375,699259,12172,13701,44543,24049,1406,7058,0.0004315131294549959,0.0020469201511735704,0.494,0.0,0.0,0.0,0.494
T119,3102585,743390,12269,14060,45790,25302,1390,7031,7.836270617256566e-05,0.0008593517320101021,0.5303,0.0,0.0,0.0,0.5303
T120,1261261,721201,12201,13854,45661,27671,1418,7006,0.0003771918865769872,0.0014662685635465052,0.4016,0.0,0.0,0.0,0.4016
T121,1707148,774277,12674,14142,51597,31757,1441,8238,0.00035449340242819645,0.0017283106506084372,0.3379,0.0,0.0,0.0,0.3379
T122,1473914,712341,12469,13937,48327,27412,1831,7281,0.0004443311431798651,0.0016218763684383102,0.3813,0.0,0.0,0.0,0.3813
T123,1607449,725517,12455,13930,45856,29261,1434,6938,0.00033234488030240984,0.0020284244188476823,0.3242,0.0,0.0,0.0,0.3242
T124,1491404,750836,12355,13755,47609,31027,1357,6987,0.00017316648606551977,0.0011681481806827796,0.7267,0.0,0.0,0.0,0.7267
T125,2845733,860074,12315,13796,46825,31855,1429,7217,0.00010657316101097075,0.0009167299239595827,0.2581,0.0,0.0,0.0,0.2581
T126,2082710,871117,12468,13946,47181,33066,1426,7050,0.0002407622871640153,0.001542768044141962,0.2643,0.0,0.0,0.0,0.2643
T127,1971554,931460,12498,14074,49121,34901,1693,7390,0.00027991800728942605,0.001306942539126181,0.2729,0.0,0.0,0.0,0.2729
T128,1390105,878816,12446,13782,46937,32780,1434,6904,0.0004334042186110126,0.0021902698868388948,0.4928,0.0,0.0,0.0,0.4928
T129,1441843,866917,12426,14042,46304,32743,1336,7073,0.00018570428527771803,0.0012151955856445123,0.3193,0.0,0.0,0.0,0.3193
T130,2610512,863852,12587,14172,46460,36003,1435,6943,0.00010472657104753738,0.0009168225102068972,0.2879,0.0,0.0,0.0,0.2879
T131,2351286,891644,12594,14272,47905,33052,1450,7741,0.0001984796912619162,0.0014106938216782805,0.5352,0.0,0.0,0.0,0.5352
T132,1905589,904683,12297,14911,47191,25299,1779,7409,0.0003154886928315874,0.001362589540001996,0.3347,0.0,0.0,0.0,0.3347
T133,1616792,877951,12360,14720,45237,23543,1506,6835,0.0003540710073908101,0.0019340370064979252,0.1854,0.0,0.0,0.0,0.1854
T134,1626841,916224,12315,14823,46807,24728,1266,7001,0.00017593580613092764,0.0012705030729948136,0.4527,0.0,0.0,0.0,0.4527
T135,2347984,980624,12299,16801,48937,23801,1407,6894,0.00010054544426150894,0.0009013081861947546,0.4836,0.0,0.0,0.0,0.4836
T136,2788973,856355,12714,14385,44561,26598,1477,6608,0.00015166988883061694,0.0012640468446499411,0.3975,0.0,0.0,0.0,0.3975
T137,1244958,829271,12553,14190,43843,24784,1813,7019,0.0005919938300576358,0.001617321383957185,0.3379,0.0,0.0,0.0,0.3379
T138,1660283,990851,12479,17031,45520,28900,1454,6852,0.0003001834820560887,0.0017987148076566125,0.2396,0.0,0.0,0.0,0.2396
T139,1669146,836939,12367,14074,46331,25375,1217,6934,0.0001650091283497594,0.0011477613011560213,0.7893,0.0,0.0,0.0,0.7893
T140,2552704,881420,12360,14198,47549,24658,1297,6900,9.459603505809293e-05,0.0008989190438140678,0.7738,0.0,0.0,0.0,0.7738
T141,1690393,856852,12502,14133,48559,25059,1382,6924,0.0003418477636005952,0.0016571405882703657,0.4346,0.0,0.0,0.0,0.4346
T142,1458689,932460,12697,14269,48535,27108,1716,7387,0.0004941039928213777,0.0015326842538014016,0.4092,0.0,0.0,0.0,0.4092
T143,1457708,956720,12534,17097,47290,29467,1579,6954,0.000425236783172518,0.0019472840622674092,0.1867,0.0,0.0,0.0,0.1867
T144,1608830,903375,12480,14368,48526,23260,1510,7650,0.00019526634657490263,0.0011943343184591415,0.2971,0.0,0.0,0.0,0.2971
