timestamp_id,total_bytes,total_packets,n_ips_org,n_ips_dst,flows_TCP,flows_UDP,flows_ICMP,flows_RST,media_duration_flow,media_bytes/flow,porcent_blacklist,porcent_spam,porcent_sshscan,porcent_udpscan,porcent_malware_total,source_ip,dest_port
T1,1581458,637193,8700,13140,44557,17302,878,6392,0.0003162878574961,0.0018141661249758,0.2222,0.0,0.0,0.0,0.2222,60.56.180.25,80
T2,1633571,739824,10210,14298,49290,21809,1094,7306,0.0002839826918249,0.001409207039416,0.4055,0.0,0.0,0.0,0.4055,42.219.158.161,32930
T3,3721287,734402,10299,13872,51751,20650,1159,7932,0.0001106037743448,0.0010533122245765,0.531,0.0,0.0,0.0,0.531,60.56.180.25,80
T4,1544607,732449,10446,14042,54055,22304,937,7909,0.0003387645919923,0.0014344816793777,0.6521,0.0,0.0,0.0,0.6521,42.219.159.95,25315
T5,2153384,742528,9955,13897,52637,20562,1201,7567,0.0002851769439918,0.0013563346813433,0.7407,0.0,0.0,0.0,0.7407,42.219.154.96,80
T6,2515330,694283,9991,13735,51889,20204,1126,7608,0.0002272164282317,0.0016477286310764,0.4217,0.0,0.0,0.0,0.4217,42.219.153.219,48091
T7,1764749,758015,10523,14174,52622,22006,1128,7971,0.0003047053175309,0.001552232764142,0.5915,0.0,0.0,0.0,0.5915,42.219.158.242,42240
T8,3951501,725617,10176,13831,51782,19825,1152,7494,0.0001049193606521,0.0010791500168845,0.2029,0.0,0.0,0.0,0.2029,42.219.153.7,53
T9,1475114,728856,10122,13697,51861,19725,1196,7695,0.0003534527798943,0.0014113927668073,0.2604,0.0,0.0,0.0,0.2604,42.219.153.8,37533
T10,2443234,791761,10230,14140,52439,20462,1270,7807,0.0002471064687598,0.0014022629575957,0.1998,0.0,0.0,0.0,0.1998,42.219.158.242,42918
T11,1871227,725164,10201,14061,51934,21552,1144,7587,0.000388052920162,0.0018658765504787,0.4071,0.0,0.0,0.0,0.4071,42.219.159.85,51872
T12,1589697,702917,10262,13940,52266,19861,1064,7721,0.000285764179001,0.0014670381554753,0.8086,0.0,0.0,0.0,0.8086,60.56.180.24,80
T13,3173321,692444,9972,13804,50554,19282,1079,7525,0.0001176883036687,0.001018663296186,0.9705,0.0,0.0,0.0,0.9705,42.219.158.179,37665
T14,1459474,705338,9857,13468,50288,20622,1102,7394,0.0003995995050197,0.0015056158982782,0.3981,0.0,0.0,0.0,0.3981,207.252.127.133,37620
T15,2014634,738463,10225,13918,50002,21254,1369,7640,0.0002940272667265,0.0013545907388585,0.3878,0.0,0.0,0.0,0.3878,60.56.180.25,80
T16,1784253,743815,9852,14293,49615,20325,1051,7018,0.000401525720022,0.001997428494114,0.2947,0.0323,0.0,0.0,0.327,42.219.158.242,33587
T17,1467285,813564,10100,16642,48121,25757,1089,6635,0.0003143793080197,0.0015076148753631,0.3348,0.0049,0.0,0.0,0.3397,42.219.158.161,46952
T18,1701446,689345,9879,13732,50399,21259,1014,6942,0.0003478076636793,0.0016643647310505,0.4868,0.0,0.0,0.0,0.4868,42.219.158.179,35004
T19,3075961,730981,9883,14428,50533,22014,1074,7068,0.0001238916510777,0.0009849486389858,0.7401,0.0,0.0,0.0,0.7401,42.219.152.242,54453
T20,2034516,701304,9844,14749,50835,20926,1283,7094,0.0002991632568299,0.0013531811393575,0.5196,0.0,0.0,0.0,0.5196,42.219.159.85,27202
T21,1536466,664986,9705,14265,51390,20436,1042,6914,0.0004297291418295,0.0021200193097259,0.6015,0.0,0.0,0.0,0.6015,42.219.159.76,49426
T22,1505068,674901,10003,13700,51074,21116,1305,7205,0.0003262715289122,0.0014681618452411,0.3177,0.0,0.0,0.0,0.3177,42.219.159.85,27018
T23,1946731,681452,9676,13297,49488,20068,1107,7190,0.0002568810594246,0.0015500659713082,0.6102,0.0,0.0,0.0,0.6102,42.219.159.85,27020
T24,3023173,697401,9708,13521,50849,21059,1104,7226,0.0001254009776644,0.0009837824481656,0.3777,0.0,0.0,0.0,0.3777,60.56.180.25,80
T25,1915434,694668,9742,13519,49817,21100,1016,7154,0.0002523859312684,0.0013591198595929,0.4825,0.0,0.0,0.0,0.4825,60.56.180.25,80
T26,1272167,630365,9645,13521,46910,20490,1117,7236,0.0005000131104107,0.0016802127505122,0.2418,0.0,0.0,0.0,0.2418,42.219.153.219,52363
T27,1928243,667247,9728,13514,45733,20766,1150,6626,0.0002995838764067,0.0017604577215091,0.4148,0.0,0.0,0.0,0.4148,42.219.158.161,47087
T28,1624728,672706,9740,13355,47185,20107,1029,7078,0.0003341727591532,0.0016058050916344,0.5851,0.0,0.0,0.0,0.5851,42.219.152.242,56216
T29,3093700,668200,9606,13205,47476,20756,1088,7012,0.0001192416736751,0.0009845705648068,0.9249,0.0,0.0,0.0,0.9249,42.219.153.8,36965
T30,1776719,655726,9847,13439,49785,21317,1060,7360,0.0002684877154691,0.0013626964654499,0.2342,0.0,0.0,0.0,0.2342,42.219.159.85,26378
T31,1280882,696099,9527,13324,50562,20185,1205,7656,0.0005149214764824,0.0017075178831051,0.312,0.0,0.0,0.0,0.312,60.56.180.24,80
T32,2083047,652868,9684,13209,46939,20383,1127,7001,0.0003233566022816,0.0019437803039056,0.5373,0.0,0.0,0.0,0.5373,60.56.180.24,80
T33,1625088,651302,9737,13247,47442,20151,1073,7098,0.00028129813331,0.0014167174175655,0.3347,0.0,0.0,0.0,0.3347,60.56.180.24,80
T34,3250772,688809,9608,16443,47333,24737,1077,7190,0.0001150892072563,0.0009967224883469,0.6452,0.0,0.0,0.0,0.6452,60.56.180.25,80
T35,1502689,650632,9802,13336,48071,20294,1034,7116,0.0003123221068433,0.00131627902894,0.5834,0.0,0.0,0.0,0.5834,42.219.158.242,37271
T36,1433720,738024,9677,13792,47049,21371,2619,7227,0.0004751391457155,0.0017528798021458,0.2466,0.0,0.0,0.0,0.2466,42.219.154.108,35065
T37,2036582,643393,9443,12943,46235,19650,982,7144,0.0002811100529327,0.0016664077095074,0.3395,0.0,0.0,0.0,0.3395,42.219.158.161,47208
T38,1479356,643805,9348,12857,46007,19719,943,6799,0.0003034145837,0.0014261904922237,0.3989,0.0,0.0,0.0,0.3989,42.219.158.179,43555
T39,3162314,757982,9416,14921,47655,21602,981,7364,0.0001133605470288,0.0010154655789087,0.3467,0.0,0.0,0.0,0.3467,42.219.152.242,55449
T40,1447242,754172,9340,14160,49009,21269,977,7677,0.000313967098431,0.0013012618215693,0.393,0.0,0.0,0.0,0.393,42.219.158.242,48510
T41,1480008,689730,9455,13135,47927,22359,1166,6895,0.0004332291802867,0.0016421486269997,0.3039,0.0,0.0,0.0,0.3039,42.219.154.108,49046
T42,1869287,681829,9429,13503,47448,19377,939,6933,0.0003476183071479,0.0018321134941524,1.0137,0.0,0.0,0.0,1.0137,42.219.159.85,26240
T43,1649454,752343,9439,14470,48776,20112,909,7426,0.0002344719899836,0.0013137192021055,1.1948,0.0,0.0,0.0,1.1948,42.219.159.85,26270
T44,3368661,658453,9310,12854,45504,19866,936,6799,9.492054212390586e-05,0.0010062439950513,0.873,0.0,0.0,0.0,0.873,42.219.159.85,26376
T45,2496883,631366,9632,13138,44665,20683,1095,6860,0.0001694052273576,0.0012927554644583,0.3142,0.0,0.0,0.0,0.3142,60.56.180.25,80
T46,1670597,642246,9465,13178,44479,21309,1256,6613,0.0003624429597954,0.0015257448330954,0.3027,0.0,0.0,0.0,0.3027,42.219.159.194,49567
T47,2107297,875048,9593,16308,45325,24577,1208,6494,0.0002310980220668,0.0015189941722815,0.1952,0.0,0.0,0.0,0.1952,42.219.158.161,47378
T48,1659507,751013,9385,14852,46566,20208,1045,6742,0.0002612149922544,0.0013287358205629,0.5007,0.0,0.0,0.0,0.5007,42.219.158.242,50036
T49,3305825,758702,9355,15621,48167,19326,1046,6280,0.0001029847000114,0.0010147922119623,0.4539,0.0,0.0,0.0,0.4539,42.219.152.242,55669
T50,1328647,758646,9569,15656,50229,20043,988,6608,0.0004996387413176,0.001943228710847,0.426,0.0,0.0,0.0,0.426,60.56.180.24,80
T51,1665597,716343,9530,14690,49738,18632,1251,6833,0.0003792349096604,0.0014705616910551,0.3194,0.0,0.0,0.0,0.3194,42.219.159.85,45792
T52,1756760,670273,9579,13575,47590,18935,1021,6684,0.000309777459938,0.0018333035910412,0.6744,0.0,0.0,0.0,0.6744,42.219.159.85,60113
T53,1559018,627594,9443,13026,47521,18160,1143,6781,0.0003075324036768,0.0013290448605609,0.5647,0.0,0.0,0.0,0.5647,42.219.159.85,27213
T54,3291420,656927,9476,13011,46852,19335,933,6817,9.67530211229468e-05,0.0010207801622725,0.4074,0.0,0.0,0.0,0.4074,244.166.23.172,80
T55,1622937,618927,9567,13119,47373,19678,961,6674,0.0003100000805406,0.0014459341817284,0.5484,0.0,0.0,0.0,0.5484,69.92.139.78,60254
T56,1634767,613749,9278,12989,44735,18640,1010,6883,0.0002828741367474,0.001403738259468,0.7083,0.0,0.0,0.0,0.7083,42.219.158.242,41160
T57,1653101,646986,9365,13079,46400,19197,1063,6678,0.00043563398985,0.0020566465584871,0.5575,0.0,0.0,0.0,0.5575,60.56.180.24,80
T58,1573501,651316,9256,16169,44980,24390,1082,6755,0.0003013117685868,0.0013383524947736,0.4451,0.0,0.0,0.0,0.4451,42.219.152.242,56988
